name,min_lon,max_lon,min_lat,max_lat,name_is
Katla,-21.0,-17.5,63.25,64.0,Katla
Hekla,-20.4,-18.9,63.7,64.25,Hekla
Grimsvotn,-18.18,-16.15,64.12,64.42,Grimsvötn
Bardarbunga,-19.6,-16.38,63.8,65.25,Bárðarbunga
Hengill,-21.5,-20.7,63.8,64.25,Hengill
Tjornesbrotabeltid,-20.5,-15.7,65.6,66.75,Tjörnesbrotabeltið
Thorbjorn,-22.6,-22.25,63.82,63.92,Þorbjörn
Oraefajokull,-17.1,-16.2,63.792,64.17,Öræfajökull
Svinafellsheidi,-17.05,-16.6,63.92,64.1,Svinafellsheiði
Askja,-17.5,-16.1,64.8,65.2,Askja
Kverkfjoll,-17.07,-16.23,64.59,64.79,Kverkfjöll
Eyjafjallajokull,-20.14,-19.3,63.4,63.8,Eyjafjallajökull
Oll,-25.2,-12.46,63.03,67.08,Öll
Reykjanesskagi,-25.5,-20.5,63.5,64.5,Reykjanes
